                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7978,                 2.9293,                 2.2176,                0.30099,                0.13699,                0.09052,                0.05547,                  1.116,                 4.1454,                 1.2603,                 0.0004,                 0.0004,                 0.0004
                      2,                0.15242,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,             0.00080446,             0.00080446,             0.00080446
                      3,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0012007,              0.0012007,              0.0012007
                      4,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0012129,              0.0012129,              0.0012129
                      5,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0012005,              0.0012005,              0.0012005
                      6,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011881,              0.0011881,              0.0011881
                      7,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011757,              0.0011757,              0.0011757
                      8,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011634,              0.0011634,              0.0011634
                      9,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,               0.001151,               0.001151,               0.001151
                     10,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011386,              0.0011386,              0.0011386
                     11,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011263,              0.0011263,              0.0011263
                     12,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011139,              0.0011139,              0.0011139
                     13,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                     14,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010891,              0.0010891,              0.0010891
                     15,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010768,              0.0010768,              0.0010768
                     16,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010644,              0.0010644,              0.0010644
                     17,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,               0.001052,               0.001052,               0.001052
                     18,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010396,              0.0010396,              0.0010396
                     19,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010273,              0.0010273,              0.0010273
                     20,                      0,                    nan,                    nan,                0.30099,                0.13699,                0.09052,                0.05547,                      0,                    nan,                    nan,              0.0010149,              0.0010149,              0.0010149
